// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/19 07:47:03
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=448

StartTime=2022/05/19 07:47:03
EndTime=2022/05/19 07:48:34

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.054
StartDepthA=-0.0557521685517735
StartDepthB=-0.0540819063597385

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/19/2022 7:47:03 AM,0.000,29.293,48.839,77.193,70532.1,1032.397,32.397,0.351,0.351,0.175,8.053,91.270,5.340,341.625,0,5.352,5.356,
5/19/2022 7:47:03 AM,0.000,29.294,48.839,77.194,70531.4,1032.397,32.397,0.367,0.367,0.175,8.053,91.434,5.349,370.681,0,5.362,5.365,
5/19/2022 7:47:03 AM,0.029,29.296,48.838,77.196,70530.5,1032.396,32.396,0.359,0.359,0.233,8.053,91.409,5.348,374.759,0,5.361,5.364,
5/19/2022 7:47:03 AM,0.065,29.296,48.837,77.196,70529.7,1032.395,32.395,0.359,0.359,0.204,8.055,91.444,5.350,304.837,0,5.363,5.366,
5/19/2022 7:47:03 AM,0.095,29.297,48.837,77.196,70529.7,1032.395,32.395,0.351,0.351,0.175,8.057,91.305,5.341,309.000,0,5.354,5.357,
5/19/2022 7:47:04 AM,0.082,29.295,48.838,77.196,70531.0,1032.396,32.396,0.367,0.367,0.218,8.058,91.387,5.346,353.010,0,5.359,5.362,
5/19/2022 7:47:04 AM,0.046,29.294,48.842,77.199,70536.3,1032.400,32.400,0.351,0.351,0.233,8.057,91.318,5.342,361.166,0,5.355,5.358,
5/19/2022 7:47:04 AM,0.000,29.293,48.840,77.195,70533.4,1032.398,32.398,0.343,0.343,0.218,8.057,91.449,5.349,357.937,0,5.362,5.365,
5/19/2022 7:47:04 AM,0.000,29.293,48.841,77.197,70534.5,1032.398,32.399,0.328,0.328,0.204,8.055,91.461,5.350,356.833,0,5.363,5.366,
5/19/2022 7:47:05 AM,0.000,29.293,48.829,77.180,70519.7,1032.390,32.390,0.359,0.359,0.160,8.037,91.322,5.342,380.452,0,5.355,5.358,
5/19/2022 7:47:05 AM,0.000,29.295,48.826,77.178,70515.9,1032.387,32.387,0.343,0.343,0.204,8.030,91.358,5.344,383.595,0,5.357,5.360,
5/19/2022 7:47:05 AM,0.013,29.295,48.827,77.180,70516.6,1032.387,32.387,0.413,0.413,0.248,8.031,91.313,5.341,373.655,0,5.354,5.357,
5/19/2022 7:47:05 AM,0.058,29.296,48.829,77.184,70518.9,1032.389,32.388,0.445,0.445,0.233,8.029,91.420,5.347,338.821,0,5.360,5.363,
5/19/2022 7:47:05 AM,0.108,29.296,48.829,77.184,70518.8,1032.389,32.388,0.374,0.374,0.248,8.027,91.433,5.348,304.752,0,5.361,5.364,
5/19/2022 7:47:06 AM,0.124,29.296,48.830,77.185,70520.0,1032.390,32.389,0.359,0.359,0.262,8.026,91.405,5.346,327.522,0,5.359,5.362,
5/19/2022 7:47:06 AM,0.122,29.295,48.832,77.187,70522.8,1032.391,32.391,0.359,0.359,0.306,8.025,91.373,5.344,292.263,0,5.357,5.360,
5/19/2022 7:47:06 AM,0.096,29.294,48.833,77.188,70525.0,1032.393,32.393,0.374,0.374,0.146,8.023,91.318,5.341,294.132,0,5.353,5.357,
5/19/2022 7:47:06 AM,0.067,29.294,48.834,77.188,70525.9,1032.394,32.393,0.335,0.335,0.131,8.023,91.303,5.339,337.887,0,5.352,5.355,
5/19/2022 7:47:06 AM,0.012,29.292,48.832,77.183,70523.5,1032.392,32.392,0.328,0.328,0.146,8.023,91.328,5.341,357.343,0,5.354,5.357,
5/19/2022 7:47:07 AM,0.000,29.292,48.829,77.178,70519.0,1032.390,32.390,0.367,0.367,0.146,8.020,91.382,5.345,347.912,0,5.357,5.360,
5/19/2022 7:47:07 AM,0.000,29.291,48.825,77.172,70514.9,1032.387,32.387,0.351,0.351,0.189,8.020,91.294,5.339,337.972,0,5.352,5.355,
5/19/2022 7:47:07 AM,0.010,29.292,48.823,77.170,70512.0,1032.386,32.386,0.351,0.351,0.189,8.025,91.395,5.345,345.363,0,5.358,5.361,
5/19/2022 7:47:07 AM,0.074,29.293,48.825,77.175,70515.0,1032.387,32.387,0.367,0.367,0.291,8.030,91.477,5.350,308.575,0,5.363,5.366,
5/19/2022 7:47:07 AM,0.136,29.294,48.828,77.180,70518.3,1032.389,32.389,0.367,0.367,0.277,8.030,91.370,5.344,341.030,0,5.356,5.359,
5/19/2022 7:47:08 AM,0.216,29.296,48.829,77.185,70519.6,1032.390,32.389,0.398,0.398,0.262,8.032,91.340,5.342,315.712,0,5.355,5.358,
5/19/2022 7:47:08 AM,0.293,29.296,48.835,77.192,70526.2,1032.394,32.393,0.406,0.406,0.291,8.033,91.352,5.342,301.694,0,5.355,5.358,
5/19/2022 7:47:08 AM,0.408,29.301,48.859,77.233,70556.3,1032.411,32.409,0.382,0.382,0.262,8.036,91.302,5.338,267.965,0,5.351,5.354,
5/19/2022 7:47:08 AM,0.491,29.302,48.880,77.262,70582.1,1032.427,32.425,0.343,0.343,0.277,8.038,91.384,5.342,267.115,0,5.354,5.358,
5/19/2022 7:47:08 AM,0.549,29.303,48.877,77.260,70578.5,1032.425,32.422,0.351,0.351,0.277,8.038,91.363,5.341,253.266,0,5.353,5.356,
5/19/2022 7:47:09 AM,0.583,29.303,48.877,77.260,70578.7,1032.425,32.422,0.343,0.343,0.379,8.040,91.409,5.343,256.495,0,5.356,5.359,
5/19/2022 7:47:09 AM,0.597,29.302,48.873,77.253,70573.4,1032.422,32.419,0.343,0.343,0.248,8.040,91.487,5.348,264.991,0,5.361,5.364,
5/19/2022 7:47:09 AM,0.601,29.300,48.880,77.260,70582.4,1032.428,32.425,0.328,0.328,0.204,8.042,91.539,5.351,269.834,0,5.364,5.367,
5/19/2022 7:47:09 AM,0.608,29.299,48.878,77.256,70580.8,1032.427,32.425,0.359,0.359,0.233,8.045,91.547,5.351,253.861,0,5.364,5.367,
5/19/2022 7:47:09 AM,0.634,29.300,48.878,77.256,70580.1,1032.427,32.424,0.320,0.320,0.218,8.044,91.531,5.350,245.025,0,5.363,5.366,
5/19/2022 7:47:10 AM,0.695,29.301,48.882,77.265,70585.8,1032.430,32.427,0.367,0.367,0.248,8.046,91.533,5.350,244.600,0,5.363,5.366,
5/19/2022 7:47:10 AM,0.881,29.301,48.877,77.258,70579.7,1032.427,32.423,0.359,0.359,0.233,8.051,91.526,5.350,237.379,0,5.363,5.366,
5/19/2022 7:47:10 AM,1.030,29.301,48.876,77.256,70578.2,1032.427,32.423,0.382,0.382,0.277,8.051,91.716,5.361,228.968,0,5.373,5.376,
5/19/2022 7:47:10 AM,1.166,29.299,48.876,77.253,70578.1,1032.428,32.423,0.382,0.382,0.262,8.051,91.648,5.356,216.818,0,5.369,5.372,
5/19/2022 7:47:10 AM,1.281,29.297,48.879,77.256,70582.4,1032.431,32.426,0.390,0.390,0.233,8.053,91.847,5.368,200.421,0,5.381,5.384,
5/19/2022 7:47:11 AM,1.384,29.297,48.879,77.255,70582.5,1032.432,32.426,0.374,0.374,0.248,8.054,91.779,5.364,190.651,0,5.376,5.379,
5/19/2022 7:47:11 AM,1.481,29.296,48.880,77.256,70584.2,1032.434,32.427,0.382,0.382,0.320,8.055,91.761,5.362,191.076,0,5.375,5.378,
5/19/2022 7:47:11 AM,1.495,29.297,48.881,77.257,70585.1,1032.434,32.428,0.351,0.351,0.262,8.055,91.777,5.363,190.056,0,5.376,5.379,
5/19/2022 7:47:11 AM,1.490,29.296,48.881,77.256,70585.3,1032.435,32.428,0.343,0.343,0.204,8.057,91.902,5.371,184.958,0,5.384,5.387,
5/19/2022 7:47:11 AM,1.500,29.294,48.880,77.253,70584.4,1032.434,32.428,0.382,0.382,0.291,8.056,91.973,5.375,184.194,0,5.388,5.391,
5/19/2022 7:47:12 AM,1.559,29.295,48.884,77.260,70589.6,1032.438,32.431,0.398,0.398,0.277,8.054,91.962,5.375,179.181,0,5.388,5.391,
5/19/2022 7:47:12 AM,1.617,29.296,48.889,77.267,70594.7,1032.441,32.434,0.374,0.374,0.204,8.053,91.868,5.369,167.117,0,5.382,5.385,
5/19/2022 7:47:12 AM,1.705,29.296,48.890,77.269,70596.4,1032.442,32.435,0.382,0.382,0.204,8.053,92.015,5.378,163.124,0,5.391,5.394,
5/19/2022 7:47:12 AM,1.808,29.296,48.892,77.272,70598.9,1032.444,32.436,0.374,0.374,0.204,8.053,92.053,5.380,170.685,0,5.393,5.396,
5/19/2022 7:47:12 AM,1.899,29.296,48.892,77.273,70599.4,1032.444,32.436,0.367,0.367,0.204,8.053,92.026,5.378,178.331,0,5.391,5.394,
5/19/2022 7:47:13 AM,2.048,29.295,48.895,77.275,70603.7,1032.448,32.439,0.359,0.359,0.233,8.052,92.018,5.377,173.914,0,5.390,5.393,
5/19/2022 7:47:13 AM,2.156,29.295,48.896,77.276,70604.4,1032.449,32.440,0.351,0.351,0.233,8.053,91.983,5.375,162.104,0,5.388,5.391,
5/19/2022 7:47:13 AM,2.280,29.295,48.900,77.282,70610.1,1032.453,32.443,0.367,0.367,0.277,8.055,92.010,5.376,150.889,0,5.389,5.392,
5/19/2022 7:47:13 AM,2.375,29.295,48.903,77.286,70613.5,1032.455,32.445,0.390,0.390,0.277,8.058,92.005,5.376,143.328,0,5.389,5.392,
5/19/2022 7:47:13 AM,2.466,29.294,48.903,77.285,70613.6,1032.456,32.445,0.359,0.359,0.218,8.061,92.085,5.380,141.204,0,5.393,5.396,
5/19/2022 7:47:14 AM,2.527,29.294,48.902,77.282,70612.3,1032.455,32.445,0.382,0.382,0.204,8.062,92.134,5.383,141.714,0,5.396,5.399,
5/19/2022 7:47:14 AM,2.593,29.294,48.903,77.285,70613.6,1032.456,32.445,0.382,0.382,0.218,8.065,92.212,5.388,145.282,0,5.401,5.404,
5/19/2022 7:47:14 AM,2.638,29.299,48.905,77.293,70615.2,1032.456,32.445,0.374,0.374,0.218,8.066,92.167,5.385,146.981,0,5.398,5.401,
5/19/2022 7:47:14 AM,2.661,29.309,48.895,77.294,70601.3,1032.445,32.434,0.382,0.382,0.204,8.067,92.110,5.382,143.838,0,5.395,5.398,
5/19/2022 7:47:15 AM,2.702,29.318,48.947,77.379,70666.2,1032.482,32.470,0.367,0.367,0.320,8.066,92.196,5.386,138.145,0,5.399,5.402,
5/19/2022 7:47:15 AM,2.763,29.351,49.171,77.734,70943.4,1032.640,32.628,0.351,0.351,0.262,8.067,92.154,5.376,136.276,0,5.389,5.392,
5/19/2022 7:47:15 AM,2.831,29.407,49.291,77.978,71085.8,1032.711,32.699,0.335,0.335,0.248,8.068,92.402,5.387,136.021,0,5.399,5.403,
5/19/2022 7:47:15 AM,2.901,29.449,49.459,78.269,71291.6,1032.824,32.812,0.320,0.320,0.233,8.069,92.561,5.389,134.917,0,5.402,5.405,
5/19/2022 7:47:15 AM,3.054,29.469,49.650,78.561,71528.4,1032.962,32.949,0.343,0.343,0.189,8.056,92.638,5.386,129.989,0,5.399,5.402,
5/19/2022 7:47:16 AM,3.161,29.490,49.729,78.700,71624.4,1033.015,33.001,0.382,0.382,0.204,8.052,92.893,5.396,126.676,0,5.409,5.412,
5/19/2022 7:47:16 AM,3.252,29.497,49.734,78.717,71629.9,1033.017,33.003,0.382,0.382,0.189,8.050,93.091,5.406,125.656,0,5.419,5.422,
5/19/2022 7:47:16 AM,3.328,29.498,49.747,78.736,71646.5,1033.027,33.013,0.367,0.367,0.102,8.051,93.408,5.423,123.957,0,5.436,5.439,
5/19/2022 7:47:16 AM,3.401,29.497,49.755,78.745,71655.8,1033.033,33.019,0.343,0.343,0.131,8.051,93.759,5.442,120.898,0,5.455,5.458,
5/19/2022 7:47:16 AM,3.530,29.495,49.763,78.753,71666.5,1033.041,33.026,0.335,0.335,0.189,8.049,94.131,5.463,117.500,0,5.476,5.479,
5/19/2022 7:47:17 AM,3.593,29.489,49.767,78.750,71672.0,1033.046,33.031,0.304,0.304,0.131,8.053,94.447,5.481,117.075,0,5.494,5.497,
5/19/2022 7:47:17 AM,3.631,29.484,49.758,78.730,71661.4,1033.041,33.026,0.343,0.343,0.160,8.057,94.666,5.494,118.095,0,5.506,5.510,
5/19/2022 7:47:17 AM,3.645,29.480,49.755,78.721,71657.9,1033.040,33.024,0.367,0.367,0.408,8.057,94.840,5.504,118.265,0,5.516,5.520,
5/19/2022 7:47:17 AM,3.669,29.479,49.752,78.715,71654.4,1033.038,33.023,0.359,0.359,0.233,8.057,94.864,5.505,118.265,0,5.518,5.522,
5/19/2022 7:47:17 AM,3.727,29.474,49.753,78.709,71656.5,1033.041,33.025,0.359,0.359,0.189,8.061,95.040,5.515,119.369,0,5.528,5.532,
5/19/2022 7:47:18 AM,3.780,29.471,49.752,78.705,71656.4,1033.042,33.026,0.351,0.351,0.204,8.060,95.099,5.519,119.539,0,5.532,5.536,
5/19/2022 7:47:18 AM,3.857,29.469,49.757,78.709,71662.5,1033.047,33.030,0.335,0.335,0.160,8.060,95.321,5.532,117.840,0,5.545,5.549,
5/19/2022 7:47:18 AM,3.977,29.472,49.778,78.742,71688.3,1033.062,33.045,0.289,0.289,0.131,8.062,95.427,5.538,114.866,0,5.551,5.554,
5/19/2022 7:47:18 AM,4.180,29.473,49.788,78.757,71700.9,1033.070,33.052,0.320,0.320,0.131,8.064,95.602,5.547,110.193,0,5.560,5.564,
5/19/2022 7:47:18 AM,4.288,29.466,49.797,78.759,71712.7,1033.080,33.061,0.374,0.374,0.175,8.067,95.684,5.551,108.409,0,5.564,5.567,
5/19/2022 7:47:19 AM,4.387,29.461,49.798,78.754,71715.4,1033.083,33.064,0.359,0.359,0.189,8.070,95.639,5.548,108.239,0,5.561,5.564,
5/19/2022 7:47:19 AM,4.488,29.456,49.798,78.746,71715.1,1033.085,33.066,0.351,0.351,0.160,8.072,95.569,5.544,107.899,0,5.557,5.560,
5/19/2022 7:47:19 AM,4.606,29.447,49.794,78.729,71712.3,1033.086,33.066,0.351,0.351,0.131,8.072,95.803,5.558,106.795,0,5.571,5.574,
5/19/2022 7:47:19 AM,4.648,29.443,49.799,78.728,71718.0,1033.091,33.071,0.320,0.320,0.116,8.074,95.831,5.560,106.710,0,5.573,5.576,
5/19/2022 7:47:19 AM,4.686,29.438,49.802,78.726,71723.3,1033.096,33.076,0.320,0.320,0.116,8.075,95.770,5.557,106.625,0,5.570,5.573,
5/19/2022 7:47:20 AM,4.738,29.435,49.802,78.721,71722.8,1033.096,33.076,0.328,0.328,0.131,8.076,95.719,5.554,106.370,0,5.567,5.571,
5/19/2022 7:47:20 AM,4.806,29.431,49.795,78.705,71714.6,1033.093,33.072,0.359,0.359,0.146,8.078,95.931,5.567,104.926,0,5.580,5.583,
5/19/2022 7:47:20 AM,4.884,29.427,49.795,78.700,71715.0,1033.094,33.074,0.367,0.367,0.262,8.071,95.779,5.558,102.122,0,5.571,5.575,
5/19/2022 7:47:20 AM,4.940,29.424,49.795,78.696,71715.8,1033.096,33.075,0.382,0.382,0.291,8.069,95.828,5.562,100.933,0,5.575,5.578,
5/19/2022 7:47:20 AM,5.015,29.422,49.794,78.692,71714.9,1033.096,33.075,0.359,0.359,0.175,8.066,95.778,5.559,100.083,0,5.572,5.575,
5/19/2022 7:47:21 AM,5.091,29.421,49.798,78.696,71720.6,1033.100,33.079,0.367,0.367,0.131,8.064,95.883,5.565,99.573,0,5.578,5.581,
5/19/2022 7:47:21 AM,5.159,29.421,49.798,78.696,71720.4,1033.100,33.079,0.343,0.343,0.131,8.067,95.894,5.565,99.318,0,5.578,5.582,
5/19/2022 7:47:21 AM,5.309,29.421,49.802,78.703,71725.8,1033.104,33.082,0.320,0.320,0.160,8.068,95.880,5.564,98.639,0,5.577,5.581,
5/19/2022 7:47:21 AM,5.453,29.423,49.804,78.707,71727.6,1033.105,33.082,0.374,0.374,0.146,8.063,95.940,5.568,97.704,0,5.581,5.584,
5/19/2022 7:47:21 AM,5.606,29.423,49.806,78.710,71730.6,1033.108,33.084,0.382,0.382,0.160,8.061,95.993,5.571,95.750,0,5.584,5.587,
